Date,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
1996/6/15,France,Spain,1,1,Group B,,Elland Road, Leeds,35626,1996
1996/6/18,France,Bulgaria,3,1,Group B,,St James' Park, Newcastle,26976,1996
1996/6/18,Romania,Spain,1,2,Group B,,Elland Road, Leeds,32719,1996
1996/6/9,Germany,Czech Republic,2,0,Group C,,Old Trafford, Manchester,37300,1996
1996/6/11,Italy,Russia,2,1,Group C,,Anfield, Liverpool,35120,1996
1996/6/14,Czech Republic,Italy,2,1,Group C,,Anfield, Liverpool,37320,1996
1996/6/16,Russia,Germany,0,3,Group C,,Old Trafford, Manchester,50760,1996
1996/6/19,Russia,Czech Republic,3,3,Group C,,Anfield, Liverpool,21128,1996
1996/6/19,Italy,Germany,0,0,Group C,,Old Trafford, Manchester,53740,1996
1996/6/9,Denmark,Portugal,1,1,Group D,,Hillsborough, Sheffield,34993,1996
1996/6/11,Turkey,Croatia,0,1,Group D,,City Ground, Nottingham,22460,1996
1996/6/14,Portugal,Turkey,1,0,Group D,,City Ground, Nottingham,22670,1996
1996/6/16,Croatia,Denmark,3,0,Group D,,Hillsborough, Sheffield,33671,1996
1996/6/19,Croatia,Portugal,0,3,Group D,,City Ground, Nottingham,20484,1996
1996/6/19,Turkey,Denmark,0,3,Group D,,Hillsborough, Sheffield,28951,1996
1996/6/22,Spain,England,0,0,Quarter-finals,England win on Penalities 2鈥?,Wembley Stadium, London,75440,1996
1996/6/22,France,Netherlands,0,0,Quarter-finals,France win on Penalities 5鈥?,Anfield, Liverpool,37465,1996
1996/6/23,Germany,Croatia,2,1,Quarter-finals,,Old Trafford, Manchester,43412,1996
1996/6/23,Czech Republic,Portugal,1,0,Quarter-finals,,Villa Park, Birmingham,26832,1996
1996/6/26,France,Czech Republic,0,0,Semi-finals,Czech Republic win on Penalities 5鈥?,Old Trafford, Manchester,43877,1996
1996/6/26,Germany,England,1,1,Semi-finals,Germany win on Penalities 6鈥?,Wembley Stadium, London,75862,1996
1996/6/30,Czech Republic,Germany,1,2,Final,Germany win after extra time ,Wembley Stadium, London,73611,1996
2000/6/12,Germany,Romania,1,1,Group A,,Stade Maurice Dufrasne, Li猫ge,28500,2000
2000/6/12,Portugal,England,3,2,Group A,,Philips Stadion, Eindhoven,31500,2000
2000/6/17,Romania,Portugal,0,1,Group A,,GelreDome, Arnhem,28400,2000
2000/6/17,England,Germany,1,0,Group A,,Stade du Pays de Charleroi, Charleroi,29000,2000
2000/6/20,England,Romania,2,3,Group A,,Stade du Pays de Charleroi, Charleroi,30000,2000
2000/6/20,Portugal,Germany,3,0,Group A,,Feijenoord Stadion, Rotterdam,44000,2000
2000/6/10,Belgium,Sweden,2,1,Group B,,King Baudouin Stadium, Brussels,46700,2000
2000/6/11,Turkey,Italy,1,2,Group B,,GelreDome, Arnhem,22500,2000
2000/6/14,Italy,Belgium,2,0,Group B,,King Baudouin Stadium, Brussels,44500,2000
2000/6/15,Sweden,Turkey,0,0,Group B,,Philips Stadion, Eindhoven,27000,2000
2000/6/19,Turkey,Belgium,2,0,Group B,,King Baudouin Stadium, Brussels,48000,2000
2000/6/19,Italy,Sweden,2,1,Group B,,Philips Stadion, Eindhoven,30000,2000
2000/6/13,Spain,Norway,0,1,Group C,,Feijenoord Stadion, Rotterdam,41000,2000
2000/6/13,FR Yugoslavia,Slovenia,3,3,Group C,,Stade du Pays de Charleroi, Charleroi,18500,2000
2000/6/18,Slovenia,Spain,1,2,Group C,,Amsterdam Arena, Amsterdam,51300,2000
2000/6/18,Norway,FR Yugoslavia,0,1,Group C,,Stade Maurice Dufrasne, Li猫ge,28750,2000
2000/6/21,FR Yugoslavia,Spain,3,4,Group C,,Jan Breydel Stadium, Bruges,26611,2000
2000/6/21,Slovenia,Norway,0,0,Group C,,GelreDome, Arnhem,21000,2000
2000/6/11,France,Denmark,3,0,Group D,,Jan Breydel Stadium, Bruges,28100,2000
2000/6/11,Netherlands,Czech Republic,1,0,Group D,,Amsterdam Arena, Amsterdam,50800,2000
2000/6/16,Czech Republic,France,1,2,Group D,,Jan Breydel Stadium, Bruges,27243,2000
2000/6/16,Denmark,Netherlands,0,3,Group D,,Feijenoord Stadion, Rotterdam,51425,2000
2000/6/21,Denmark,Czech Republic,0,2,Group D,,Stade Maurice Dufrasne, Li猫ge,20000,2000
2000/6/21,France,Netherlands,2,3,Group D,,Amsterdam Arena, Amsterdam,50000,2000
2000/6/24,Turkey,Portugal,0,2,Quarter-finals,,Amsterdam Arena, Amsterdam,42000,2000
2000/6/24,Italy,Romania,2,0,Quarter-finals,,King Baudouin Stadium, Brussels,41000,2000
2000/6/25,Netherlands,FR Yugoslavia,6,1,Quarter-finals,,Feijenoord Stadion, Rotterdam,44000,2000
2000/6/25,Spain,France,1,2,Quarter-finals,,Jan Breydel Stadium, Bruges,26614,2000
2000/6/28,France,Portugal,2,1,Semi-finals,France win after extra time ,King Baudouin Stadium, Brussels,48000,2000
2000/6/29,Italy,Netherlands,0,0,Semi-finals,Italy win on Penalities 3鈥?,Amsterdam Arena, Amsterdam,50000,2000
2000/7/2,France,Italy,2,1,Final,France win after extra time ,De Kuip, Rotterdam,48200,2000
2004/6/12,Portugal,Greece,1,2,Group A,,Est谩dio do Drag茫o, Porto,48761,2004
2004/6/12,Spain,Russia,1,0,Group A,,Est谩dio Algarve, Faro/Loul茅,28182,2004
2004/6/16,Greece,Spain,1,1,Group A,,Est谩dio do Bessa, Porto,25444,2004
2004/6/16,Russia,Portugal,0,2,Group A,,Est谩dio da Luz, Lisbon,59273,2004
2004/6/20,Spain,Portugal,0,1,Group A,,Est谩dio Jos茅 Alvalade, Lisbon,47491,2004
2004/6/20,Russia,Greece,2,1,Group A,,Est谩dio Algarve, Faro/Loul茅,24347,2004
2004/6/13,Switzerland,Croatia,0,0,Group B,,Est谩dio Dr. Magalh茫es Pessoa, Leiria,24090,2004
2004/6/13,France,England,2,1,Group B,,Est谩dio da Luz, Lisbon,62487,2004
2004/6/17,England,Switzerland,3,0,Group B,,Est谩dio Cidade de Coimbra, Coimbra,28214,2004
2004/6/17,Croatia,France,2,2,Group B,,Est谩dio Dr. Magalh茫es Pessoa, Leiria,29160,2004
2004/6/21,Croatia,England,2,4,Group B,,Est谩dio da Luz, Lisbon,57047,2004
2004/6/21,Switzerland,France,1,3,Group B,,Est谩dio Cidade de Coimbra, Coimbra,28111,2004
2004/6/14,Denmark,Italy,0,0,Group C,,Est谩dio D. Afonso Henriques, Guimar茫es,19595,2004
2004/6/14,Sweden,Bulgaria,5,0,Group C,,Est谩dio Jos茅 Alvalade, Lisbon,31652,2004
2004/6/18,Bulgaria,Denmark,0,2,Group C,,Est谩dio Municipal de Braga, Braga,24131,2004
2004/6/18,Italy,Sweden,1,1,Group C,,Est谩dio do Drag茫o, Porto,44926,2004
2004/6/22,Italy,Bulgaria,2,1,Group C,,Est谩dio D. Afonso Henriques, Guimar茫es,16002,2004
2004/6/22,Denmark,Sweden,2,2,Group C,,Est谩dio do Bessa, Porto,26115,2004
2004/6/15,Czech Republic,Latvia,2,1,Group D,,Est谩dio Municipal de Aveiro, Aveiro,21744,2004
2004/6/15,Germany,Netherlands,1,1,Group D,,Est谩dio do Drag茫o, Porto,48197,2004
2004/6/19,Latvia,Germany,0,0,Group D,,Est谩dio do Bessa, Porto,22344,2004
2004/6/19,Netherlands,Czech Republic,2,3,Group D,,Est谩dio Municipal de Aveiro, Aveiro,29935,2004
2004/6/23,Netherlands,Latvia,3,0,Group D,,Est谩dio Municipal de Braga, Braga,27904,2004
2004/6/23,Germany,Czech Republic,1,2,Group D,,Est谩dio Jos茅 Alvalade, Lisbon,46849,2004
2004/6/24,Portugal,England,2,2,Quarter-finals,Portugal win on Penalities 6鈥?,Est谩dio da Luz, Lisbon,62564,2004
2004/6/25,France,Greece,0,1,Quarter-finals,,Est谩dio Jos茅 Alvalade, Lisbon,45390,2004
2004/6/26,Sweden,Netherlands,0,0,Quarter-finals,Netherlands win on Penalities 4鈥?,Est谩dio Algarve, Faro/Loul茅,27762,2004
2004/6/27,Czech Republic,Denmark,3,0,Quarter-finals,,Est谩dio do Drag茫o, Porto,41092,2004
2004/6/30,Portugal,Netherlands,2,1,Semi-finals,,Est谩dio Jos茅 Alvalade, Lisbon,46679,2004
2004/7/1,Greece,Czech Republic,1,0,Semi-finals,Greece win after extra time ,Est谩dio do Drag茫o, Porto,42449,2004
2004/7/4,Portugal,Greece,0,1,Final,,Est谩dio da Luz, Lisbon,62865,2004
2008/6/7,Switzerland,Czech Republic,0,1,Group A,,St. Jakob-Park, Basel,39730,2008
2008/6/7,Portugal,Turkey,2,0,Group A,,Stade de Gen猫ve, Geneva,29106,2008
2008/6/11,Czech Republic,Portugal,1,3,Group A,,Stade de Gen猫ve, Geneva,29016,2008
2008/6/11,Switzerland,Turkey,1,2,Group A,,St. Jakob-Park, Basel,39730,2008
2008/6/15,Switzerland,Portugal,2,0,Group A,,St. Jakob-Park, Basel,39730,2008
2008/6/15,Turkey,Czech Republic,3,2,Group A,,Stade de Gen猫ve, Geneva,29016,2008
2008/6/8,Austria,Croatia,0,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
2008/6/8,Germany,Poland,2,0,Group B,,W枚rthersee Stadion, Klagenfurt,30461,2008
2008/6/12,Croatia,Germany,2,1,Group B,,W枚rthersee Stadion, Klagenfurt,30461,2008
2008/6/12,Austria,Poland,1,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
2008/6/16,Poland,Croatia,0,1,Group B,,W枚rthersee Stadion, Klagenfurt,30461,2008
2008/6/16,Austria,Germany,0,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
2008/6/9,Romania,France,0,0,Group C,,Letzigrund, Z眉rich,30585,2008
2008/6/9,Netherlands,Italy,3,0,Group C,,Stade de Suisse, Bern,30777,2008
2008/6/13,Italy,Romania,1,1,Group C,,Letzigrund, Z眉rich,30585,2008
2008/6/13,Netherlands,France,4,1,Group C,,Stade de Suisse, Bern,30777,2008
2008/6/17,Netherlands,Romania,2,0,Group C,,Stade de Suisse, Bern,30777,2008
2008/6/17,France,Italy,0,2,Group C,,Letzigrund, Z眉rich,30585,2008
2008/6/10,Spain,Russia,4,1,Group D,,Tivoli-Neu, Innsbruck,30772,2008
2008/6/10,Greece,Sweden,0,2,Group D,,Stadion Wals-Siezenheim, Salzburg,31063,2008
2008/6/14,Sweden,Spain,1,2,Group D,,Tivoli-Neu, Innsbruck,30772,2008
2008/6/14,Greece,Russia,0,1,Group D,,Stadion Wals-Siezenheim, Salzburg,31063,2008
2008/6/18,Greece,Spain,1,2,Group D,,Stadion Wals-Siezenheim, Salzburg,30883,2008
2008/6/18,Russia,Sweden,2,0,Group D,,Tivoli-Neu, Innsbruck,30772,2008
2008/6/19,Portugal,Germany,2,3,Quarter-finals,,St. Jakob-Park, Basel,39374,2008
2008/6/20,Croatia,Turkey,1,1,Quarter-finals,Turkey win on Penalities 1鈥?,Ernst-Happel-Stadion, Vienna,51428,2008
2008/6/21,Netherlands,Russia,1,3,Quarter-finals,Russia win after extra time ,St. Jakob-Park, Basel,38374,2008
2008/6/22,Spain,Italy,0,0,Quarter-finals,Spain win on Penalities 4鈥?,Ernst-Happel-Stadion, Vienna,51178,2008
2008/6/25,Germany,Turkey,3,2,Semi-finals,,St. Jakob-Park, Basel,39374,2008
2008/6/26,Russia,Spain,0,3,Semi-finals,,Ernst-Happel-Stadion, Vienna,51428,2008
2008/6/29,Germany,Spain,0,1,Final,,Ernst-Happel-Stadion, Vienna,51428,2008
2012/6/8,Poland,Greece,1,1,Group A,,National Stadium, Warsaw,56070,2012
2012/6/8,Russia,Czech Republic,4,1,Group A,,Stadion Miejski, Wroc艂aw,40803,2012
2012/6/12,Greece,Czech Republic,1,2,Group A,,Stadion Miejski, Wroc艂aw,41105,2012
2012/6/12,Poland,Russia,1,1,Group A,,National Stadium, Warsaw,55920,2012
2012/6/16,Czech Republic,Poland,1,0,Group A,,Stadion Miejski, Wroc艂aw,41480,2012
2012/6/16,Greece,Russia,1,0,Group A,,National Stadium, Warsaw,55614,2012
2012/6/9,Netherlands,Denmark,0,1,Group B,,Metalist Stadium, Kharkiv,35923,2012
2012/6/9,Germany,Portugal,1,0,Group B,,Arena Lviv, Lviv,32990,2012
2012/6/13,Denmark,Portugal,2,3,Group B,,Arena Lviv, Lviv,31840,2012
2012/6/13,Netherlands,Germany,1,2,Group B,,Metalist Stadium, Kharkiv,37750,2012
2012/6/17,Portugal,Netherlands,2,1,Group B,,Metalist Stadium, Kharkiv,37445,2012
2012/6/17,Denmark,Germany,1,2,Group B,,Arena Lviv, Lviv,32990,2012
2012/6/10,Spain,Italy,1,1,Group C,,PGE Arena, Gda艅sk,38869,2012
2012/6/10,Republic of Ireland,Croatia,1,3,Group C,,Stadion Miejski, Pozna艅,39550,2012
2012/6/14,Italy,Croatia,1,1,Group C,,Stadion Miejski, Pozna艅,37096,2012
2012/6/14,Spain,Republic of Ireland,4,0,Group C,,PGE Arena, Gda艅sk,39150,2012
2012/6/18,Croatia,Spain,0,1,Group C,,PGE Arena, Gda艅sk,39076,2012
2012/6/18,Italy,Republic of Ireland,2,0,Group C,,Stadion Miejski, Pozna艅,38794,2012
2012/6/11,France,England,1,1,Group D,,Donbass Arena, Donetsk,47400,2012
2012/6/11,Ukraine,Sweden,2,1,Group D,,Olympic Stadium, Kiev,64290,2012
2012/6/15,Ukraine,France,0,2,Group D,,Donbass Arena, Donetsk,48000,2012
2012/6/15,Sweden,England,2,3,Group D,,Olympic Stadium, Kiev,64640,2012
2012/6/19,England,Ukraine,1,0,Group D,,Donbass Arena, Donetsk,48700,2012
2012/6/19,Sweden,France,2,0,Group D,,Olympic Stadium, Kiev,63010,2012
2012/6/21,Czech Republic,Portugal,0,1,Quarter-finals,,National Stadium, Warsaw,55590,2012
2012/6/22,Germany,Greece,4,2,Quarter-finals,,PGE Arena, Gda艅sk,38751,2012
2012/6/23,Spain,France,2,0,Quarter-finals,,Donbass Arena, Donetsk,47000,2012
2012/6/24,England,Italy,0,0,Quarter-finals,Italy win on Penalities 2鈥?,Olympic Stadium, Kiev,64340,2012
2012/6/27,Portugal,Spain,0,0,Semi-finals,Spain win on Penalities 2鈥?,Donbass Arena, Donetsk,48000,2012
2012/6/28,Germany,Italy,1,2,Semi-finals,,National Stadium, Warsaw,55540,2012
2012/7/1,Spain,Italy,4,0,Final,,Olympic Stadium, Kiev,63170,2012
2016/6/10,France,Romania,2,1,Group A,,Stade de France, Saint-Denis,75113,2016
2016/6/11,Albania,Switzerland,0,1,Group A,,Stade Bollaert-Delelis, Lens,33805,2016
2016/6/15,Romania,Switzerland,1,1,Group A,,Parc des Princes, Paris,43576,2016
2016/6/15,France,Albania,2,0,Group A,,Stade V茅lodrome, Marseille,63670,2016
2016/6/19,Romania,Albania,0,1,Group A,,Parc Olympique Lyonnais, D茅cines-Charpieu,49752,2016
2016/6/19,Switzerland,France,0,0,Group A,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,45616,2016
2016/6/11,Wales,Slovakia,2,1,Group B,,Nouveau Stade de Bordeaux, Bordeaux,37831,2016
2016/6/11,England,Russia,1,1,Group B,,Stade V茅lodrome, Marseille,62343,2016
2016/6/15,Russia,Slovakia,1,2,Group B,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,38989,2016
2016/6/16,England,Wales,2,1,Group B,,Stade Bollaert-Delelis, Lens,34033,2016
2016/6/20,Russia,Wales,0,3,Group B,,Stadium Municipal, Toulouse,28840,2016
2016/6/20,Slovakia,England,0,0,Group B,,Stade Geoffroy-Guichard, Saint-脡tienne,39051,2016
2016/6/12,Poland,Northern Ireland,1,0,Group C,,Stade de Nice, Nice,33742,2016
2016/6/12,Germany,Ukraine,2,0,Group C,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,43035,2016
2016/6/16,Ukraine,Northern Ireland,0,2,Group C,,Parc Olympique Lyonnais, D茅cines-Charpieu,51043,2016
2016/6/16,Germany,Poland,0,0,Group C,,Stade de France, Saint-Denis,73648,2016
2016/6/21,Ukraine,Poland,0,1,Group C,,Stade V茅lodrome, Marseille,58874,2016
